entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,entry_trend,quick_reentry,breakout_entry,vshape_entry,entry_ret_5d,entry_drop20d,entry_dist_sma20,entry_profile,entry_choppy_regime,symbol
222,246,24,4.15,173.62,signal,2020-12-28,0.8247422680412371,0.03206874869000212,-10.446894289684124,1.335886831266865,2.0,3.0,0.012644241644930207,1.0,3,2020-11-24,AST,0.375,moderate,False,False,False,3.51,-2.57,7.13,balanced,False,AST
15,25,10,-4.18,164.38,signal,2020-02-13,0.7068965517241381,0.029616724738675944,15.094339622641513,1.033804236934043,1.0,1.0,0.028648549335916457,0.85,3,2020-01-30,BCC,0.375,moderate,False,False,False,2.87,-1.37,2.06,balanced,False,BCC
78,90,12,-7.66,135.5,signal,2020-06-25,0.5739130434782612,0.0765624999999999,2.7926322043969236,1.0599109949639056,1.0,1.0,0.019349804351205032,0.25,3,2020-06-09,BCC,0.425,strong,False,False,False,1.27,-1.23,12.47,balanced,False,BCC
104,112,8,-11.02,9.8,signal_hard_cap,2020-07-27,0.5151515151515148,0.026711185308848102,3.7037037037037095,0.7302030166415818,2.0,1.0,0.008546853773332988,0.06666666666666667,3,2020-07-15,BCC,0.9,strong,False,False,False,1.35,-1.32,0.49,balanced,False,BCC
136,167,31,9.15,227.42,signal,2020-10-13,0.7625899280575545,0.05296950240770452,3.207599666123457,1.608619339925431,1.0,2.0,0.3646204222583668,1.0,4,2020-08-28,BCC,0.31875,strong,False,False,False,4.01,-3.86,7.55,balanced,False,BCC
205,224,19,31.45,,end,2020-12-31,0.5542168674698794,0.05514157973174368,3.742393509127787,0.9956594653250469,1.0,2.0,-0.004740878107323273,0.18333333333333332,4,2020-12-04,BCC,0.95,strong,False,False,False,1.36,-3.87,1.76,balanced,False,BCC
3,22,19,-3.68,233.69,signal,2020-03-09,0.5250000000000006,0.0349264705882352,4.722222222222115,0.9925722145804676,2.0,4.0,-0.05020091476646178,0.65,4,2020-01-07,BCE,0.3,weak,False,False,False,0.0,0.0,0.0,balanced,False,BCE
51,97,46,13.24,26.15,signal,2020-07-01,0.8545454545454559,0.014705882352941025,0.9096816114359569,1.3071212608555807,4.0,3.0,-0.027666778162493674,1.0,3,2020-04-20,BCE,0.9,strong,False,False,False,-0.73,-1.27,3.72,balanced,False,BCE
100,115,15,-2.73,43.14,signal,2020-07-28,0.40384615384615513,0.04975922953451037,23.239559671501027,0.44604769944926,2.0,4.0,0.007974127247633245,0.13333333333333333,4,2020-07-06,BCE,0.7124999999999999,strong,False,False,False,0.81,-2.5,0.27,balanced,False,BCE
124,145,21,7.51,116.67,signal,2020-09-09,0.5979381443298966,0.062300319488817986,-5.015468607825277,0.7603958441302041,2.0,3.0,-0.035667555122485206,1.0,3,2020-08-10,BCE,0.5,moderate,False,True,False,3.3,-4.72,0.94,balanced,False,BCE
167,177,10,-3.49,4.29,signal,2020-10-26,0.7346938775510208,0.018131101813110166,23.214285714285666,1.3260114999656536,4.0,3.0,0.047939576462991115,0.06666666666666667,4,2020-10-12,BCE,0.95,strong,False,False,False,4.22,0.0,3.16,balanced,False,BCE
194,224,30,70.46,,end,2020-12-31,1.0,0.0,23.076923076923073,1.1961740269163046,2.0,1.0,0.016761358871226553,0.1,2,2020-11-18,BCE,0.5,strong,False,False,False,2.16,0.0,2.13,balanced,False,BCE
41,45,4,-10.63,165.04,signal_hard_cap,2020-03-13,0.3137254901960788,0.10937499999999989,8.619662363455852,1.2447775430190708,1.0,2.0,0.08573283907535548,0.5166666666666667,5,2020-03-09,BCG,0.375,moderate,False,False,False,2.89,-6.98,0.71,balanced,False,BCG
63,74,11,-1.15,279.0,signal,2020-04-24,0.5575221238938054,0.19083969465648853,18.969258589511753,0.739329950860021,2.0,3.0,-0.050564400910498256,0.7,4,2020-04-09,BCG,0.26775,weak,False,False,True,14.41,-14.66,-0.76,balanced,False,BCG
93,110,17,1.31,147.57,signal,2020-06-17,0.9677419354838709,0.006557377049180334,9.194414607948445,0.6854215445867334,2.0,2.0,-0.05421393426647887,0.65,2,2020-05-25,BCG,0.425,strong,False,False,False,5.17,-0.65,9.22,balanced,False,BCG
122,140,18,-3.86,229.57,signal,2020-07-29,0.6406250000000001,0.06824925816023739,38.18619341254325,1.494126513313006,3.0,3.0,-0.0034783192866409476,0.26666666666666666,5,2020-07-03,BCG,0.31875,moderate,False,False,False,6.98,-2.6,4.66,balanced,False,BCG
147,170,23,0.0,202.25,signal,2020-09-15,0.9189189189189191,0.02163461538461535,16.998050682261216,1.1671229782200523,2.0,4.0,0.0012538579802882643,0.8166666666666667,4,2020-08-12,BCG,0.34,strong,False,False,False,25.68,0.0,13.66,balanced,False,BCG
172,194,22,3.09,21.71,signal,2020-10-19,1.0,0.0,1.5172413793103416,1.4641863946210496,4.0,2.0,0.22471174606840932,0.06666666666666667,3,2020-09-17,BCG,0.9,strong,False,False,False,6.84,0.0,7.42,balanced,False,BCG
220,240,20,57.88,,end,2020-12-31,0.8588235294117647,0.024896265560165994,0.4400301734976466,1.42031466415936,1.0,2.0,0.023173741501871833,0.6166666666666667,4,2020-11-24,BCG,0.375,moderate,False,False,False,1.26,-0.62,6.34,balanced,False,BCG
23,43,20,-2.26,135.94,signal,2020-06-29,0.8634868421052634,0.03349475383373681,2.680635776505625,1.1346905136274377,2.0,3.0,-0.04454204492621716,0.31666666666666665,4,2020-06-01,BCM,0.425,strong,False,False,False,5.49,-0.36,14.5,balanced,False,BCM
