symbol,window,entry_idx,exit_idx,entry_price,exit_price,hold_days,buy_prob,trade_return_pct,max_dd_pct,max_profit_pct,gave_back_pct,entry_wave_pos,actual_target,after_exit_5d_pct,is_win
ACB,Window 0: Train [2016-01-01 → 2019-12-31] Test [2020-01-01 → 2020-12-31],1153,1163,7.45,6.12,10,0.625,-17.85,-19.06,0.0,17.85,0.78,0,-3.27,False
ACB,Window 0: Train [2016-01-01 → 2019-12-31] Test [2020-01-01 → 2020-12-31],1166,1176,5.57,5.86,10,0.608,5.21,-7.72,6.82,1.62,0.0,0,-1.54,True
ACB,Window 0: Train [2016-01-01 → 2019-12-31] Test [2020-01-01 → 2020-12-31],1177,1187,5.83,5.89,10,0.682,1.03,-2.06,3.95,2.92,0.38,0,0.51,True
ACB,Window 0: Train [2016-01-01 → 2019-12-31] Test [2020-01-01 → 2020-12-31],1188,1198,5.86,6.26,10,0.752,6.83,-1.02,6.83,0.0,0.78,1,0.48,True
ACB,Window 0: Train [2016-01-01 → 2019-12-31] Test [2020-01-01 → 2020-12-31],1201,1211,6.18,7.24,10,0.684,17.15,0.0,17.15,0.0,0.81,1,1.24,True
ACB,Window 0: Train [2016-01-01 → 2019-12-31] Test [2020-01-01 → 2020-12-31],1215,1225,7.27,7.04,10,0.607,-3.16,-7.57,1.65,4.81,0.93,0,-3.27,False
ACB,Window 1: Train [2017-01-01 → 2020-12-31] Test [2021-01-01 → 2021-12-31],1357,1367,10.75,10.62,10,0.603,-1.21,-2.6,5.58,6.79,0.83,1,-2.82,False
ACB,Window 1: Train [2017-01-01 → 2020-12-31] Test [2021-01-01 → 2021-12-31],1368,1378,10.86,10.58,10,0.672,-2.58,-11.6,0.0,2.58,0.56,0,3.4,False
ACB,Window 1: Train [2017-01-01 → 2020-12-31] Test [2021-01-01 → 2021-12-31],1410,1420,12.38,12.98,10,0.601,4.85,0.0,6.54,1.7,0.56,1,-6.09,True
ACB,Window 1: Train [2017-01-01 → 2020-12-31] Test [2021-01-01 → 2021-12-31],1423,1433,12.64,13.06,10,0.637,3.32,-3.56,4.75,1.42,0.53,0,3.98,True
ACB,Window 1: Train [2017-01-01 → 2020-12-31] Test [2021-01-01 → 2021-12-31],1478,1488,16.98,15.99,10,0.608,-5.83,-12.31,0.0,5.83,0.55,0,0.19,False
ACB,Window 1: Train [2017-01-01 → 2020-12-31] Test [2021-01-01 → 2021-12-31],1504,1514,16.58,14.89,10,0.602,-10.19,-10.19,0.97,11.16,0.74,0,2.35,False
ACB,Window 1: Train [2017-01-01 → 2020-12-31] Test [2021-01-01 → 2021-12-31],1580,1590,15.71,15.66,10,0.636,-0.32,-3.56,0.0,0.32,0.35,0,-2.04,False
ACB,Window 2: Train [2018-01-01 → 2021-12-31] Test [2022-01-01 → 2022-12-31],1845,1855,13.42,13.54,10,0.601,0.89,-4.32,1.12,0.22,0.66,0,8.27,True
ACG,Window 3: Train [2019-01-01 → 2022-12-31] Test [2023-01-01 → 2023-12-31],247,257,28.75,31.7,10,0.614,10.26,0.0,15.48,5.22,0.17,1,13.38,True
ACG,Window 3: Train [2019-01-01 → 2022-12-31] Test [2023-01-01 → 2023-12-31],315,325,31.98,34.33,10,0.611,7.35,0.0,10.88,3.53,0.49,1,5.88,True
ACG,Window 3: Train [2019-01-01 → 2022-12-31] Test [2023-01-01 → 2023-12-31],366,376,39.0,37.74,10,0.608,-3.23,-4.36,0.0,3.23,0.45,0,-2.6,False
ACG,Window 3: Train [2019-01-01 → 2022-12-31] Test [2023-01-01 → 2023-12-31],396,406,34.07,34.38,10,0.606,0.91,0.0,2.38,1.47,0.02,0,-1.75,True
ACG,Window 5: Train [2021-01-01 → 2024-12-31] Test [2025-01-01 → 2025-12-31],686,696,36.27,36.22,10,0.61,-0.14,-0.52,1.08,1.21,0.0,0,-0.91,False
ACG,Window 5: Train [2021-01-01 → 2024-12-31] Test [2025-01-01 → 2025-12-31],730,740,36.15,35.2,10,0.605,-2.63,-5.67,0.28,2.9,1.0,0,1.42,False
