entry_date,exit_date,holding_days,pnl_pct,entry_price,exit_price,exit_reason,symbol
2021-10-27,2021-12-03,27,35.99,17.51,23.9,rule_sell,VND
2022-02-09,2022-03-09,20,1.58,23.57,24.06,rule_sell,VND
2022-03-15,2022-03-24,7,-3.85,26.3,25.42,rule_sell,VND
2022-04-04,2022-04-18,9,-5.51,27.35,25.98,rule_sell,VND
2022-05-30,2022-06-14,11,-16.75,20.55,17.21,rule_sell,VND
2022-07-08,2022-08-30,37,17.77,15.11,17.87,rule_sell,VND
2022-11-18,2022-12-23,25,25.65,9.14,11.53,rule_sell,VND
2023-01-17,2023-02-03,8,-5.54,13.09,12.43,rule_sell,VND
2023-03-08,2023-04-13,26,2.89,12.11,12.52,rule_sell,VND
2023-05-10,2023-06-29,36,22.36,12.6,15.48,rule_sell,VND
2023-07-26,2023-09-22,40,16.37,15.89,18.57,rule_sell,VND
2023-10-13,2023-10-17,2,-9.61,18.12,16.47,rule_sell,VND
2023-11-08,2023-12-14,26,9.19,16.1,17.66,rule_sell,VND
2024-02-07,2024-02-23,7,-4.62,18.94,18.16,rule_sell,VND
2024-03-01,2024-03-12,7,-3.12,19.11,18.61,rule_sell,VND
2024-03-15,2024-03-27,8,-1.53,19.39,19.19,rule_sell,VND
2024-05-06,2024-05-29,17,-2.34,17.38,17.06,rule_sell,VND
2024-08-20,2024-09-11,14,-5.44,14.58,13.86,rule_sell,VND
2024-09-20,2024-10-15,17,-1.81,14.54,14.35,rule_sell,VND
2024-11-08,2024-11-14,4,-5.94,14.35,13.57,rule_sell,VND
2025-02-04,2025-04-03,42,18.88,12.02,14.35,rule_sell,VND
2025-04-17,2025-04-24,5,-3.78,14.93,14.44,rule_sell,VND
2025-05-14,2025-08-22,72,50.88,14.83,22.45,rule_sell,VND
2025-09-03,2025-09-08,3,-10.76,26.8,24.05,rule_sell,VND
2025-10-13,2025-10-20,5,-7.88,23.7,21.95,rule_sell,VND
2025-11-18,2025-11-25,5,-10.18,20.15,18.2,rule_sell,VND
2025-12-04,2026-01-06,21,-3.87,19.3,18.65,rule_sell,VND
2026-01-08,2026-01-21,9,-4.54,19.8,19.0,rule_sell,VND
2026-02-23,2026-03-10,11,-12.7,18.85,16.55,rule_sell,VND
2020-02-14,2020-02-21,5,-3.03,6.32,6.16,rule_sell,MBB
2020-04-08,2020-06-15,46,7.83,4.56,4.94,rule_sell,MBB
2020-07-09,2020-07-23,10,-2.67,5.07,4.96,rule_sell,MBB
2020-08-12,2020-10-28,54,19.3,4.9,5.87,rule_sell,MBB
2020-11-13,2021-01-19,46,26.01,6.45,8.16,rule_sell,MBB
2021-02-17,2021-03-24,25,6.45,8.63,9.23,rule_sell,MBB
2021-04-05,2021-04-22,12,-4.44,10.16,9.76,rule_sell,MBB
2021-05-07,2021-07-06,42,26.37,10.57,13.41,rule_sell,MBB
2021-08-03,2021-08-23,14,-2.92,13.23,12.91,rule_sell,MBB
2021-09-24,2021-10-04,6,-6.06,12.95,12.23,rule_sell,MBB
2021-10-11,2021-10-25,10,-4.65,13.0,12.46,rule_sell,MBB
2021-10-27,2021-11-11,11,-1.59,12.82,12.68,rule_sell,MBB
2021-11-17,2021-11-18,1,-1.89,12.95,12.77,rule_sell,MBB
2021-11-22,2021-12-03,9,-3.61,13.18,12.77,rule_sell,MBB
2021-12-31,2022-01-11,6,-4.02,13.05,12.59,rule_sell,MBB
2022-01-12,2022-03-02,30,10.81,13.18,14.67,rule_sell,MBB
2022-03-30,2022-04-14,10,-1.59,14.74,14.58,rule_sell,MBB
2022-05-25,2022-06-15,15,-11.72,12.66,11.24,rule_sell,MBB
2022-07-05,2022-09-07,44,7.94,11.49,12.46,rule_sell,MBB
2022-10-27,2022-11-14,12,-13.69,9.48,8.23,rule_sell,MBB
2022-11-28,2022-12-21,17,2.4,9.32,9.59,rule_sell,MBB
2023-01-06,2023-02-03,15,1.42,9.89,10.08,rule_sell,MBB
2023-03-15,2023-04-18,24,1.47,9.64,9.83,rule_sell,MBB
2023-05-12,2023-05-25,9,-1.59,10.1,9.99,rule_sell,MBB
2023-06-02,2023-08-17,54,12.34,10.67,12.04,rule_sell,MBB
2023-09-05,2023-09-22,13,-2.87,12.23,11.94,rule_sell,MBB
2023-11-06,2023-11-24,14,-1.02,11.46,11.4,rule_sell,MBB
2023-12-06,2024-03-08,61,29.86,11.56,15.07,rule_sell,MBB
2024-03-22,2024-04-03,8,-3.94,16.0,15.45,rule_sell,MBB
2024-05-16,2024-05-30,10,-5.05,14.94,14.26,rule_sell,MBB
2024-06-10,2024-06-25,11,-0.7,14.78,14.75,rule_sell,MBB
2024-07-09,2024-08-01,17,0.56,15.11,15.27,rule_sell,MBB
2024-08-20,2024-09-05,10,-1.76,15.83,15.63,rule_sell,MBB
2024-09-20,2024-10-21,21,2.78,16.15,16.68,rule_sell,MBB
2024-11-29,2024-12-24,17,-1.52,15.76,15.6,rule_sell,MBB
2024-12-25,2025-01-10,11,-1.0,15.96,15.88,rule_sell,MBB
2025-01-20,2025-03-26,42,9.32,16.4,18.01,rule_sell,MBB
2025-04-25,2025-06-05,26,3.06,17.68,18.31,rule_sell,MBB
2025-06-16,2025-09-08,58,41.22,18.84,26.7,rule_sell,MBB
2025-10-10,2025-10-20,6,-8.51,27.45,25.25,rule_sell,MBB
2025-11-27,2026-01-26,40,10.56,23.5,26.1,rule_sell,MBB
