symbol,entry_idx,exit_idx,entry_price,exit_price,holding_days,trade_return_pct,max_dd_in_trade_pct,max_profit_in_trade_pct,sub_waves,is_win,entry_wave_pos,entry_dist_from_peak_pct,entry_recent_5d_ret_pct,exit_wave_pos,after_exit_max_up_pct,after_exit_max_down_pct,after_exit_5d_return_pct,after_exit_10d_return_pct,missed_profit_pct,gave_back_pct
AAS,372,377,19.57,18.66,5,-4.65,-4.65,1.74,4,False,1.0,0.0,11.64,0.55,9.11,-11.79,-3.64,-8.2,6.39,6.39
AAS,378,380,20.36,19.06,2,-6.39,-6.39,0.0,1,False,1.0,0.0,2.88,0.6,-2.1,-13.64,-9.5,-7.14,6.39,6.39
AAS,443,445,11.2,11.03,2,-1.52,-1.52,1.52,2,False,0.98,-0.44,16.55,0.85,14.32,1.99,5.08,8.16,3.04,3.04
AAS,447,455,11.25,11.93,8,6.04,0.0,12.09,2,True,0.94,-1.06,0.0,0.8,2.35,-4.69,-1.84,-4.27,6.04,6.04
AAS,456,457,12.21,12.05,1,-1.31,-1.31,0.0,1,False,0.88,-3.17,3.83,0.83,-1.41,-5.64,-4.73,-5.23,1.31,1.31
AAS,568,575,6.11,6.33,7,3.6,0.0,7.36,4,True,0.96,-0.81,3.91,0.84,0.0,-8.85,-3.48,-7.11,3.76,3.76
AAS,618,626,6.05,6.28,8,3.8,0.0,12.23,2,True,1.0,0.0,8.04,0.65,8.92,0.8,8.92,2.71,8.43,8.43
AAS,628,633,6.5,6.39,5,-1.69,-1.69,5.23,2,False,0.8,-4.27,-4.27,0.64,10.64,-0.94,-0.94,10.64,6.92,6.92
AAS,643,646,7.07,6.96,3,-1.56,-1.56,0.0,1,False,1.0,0.0,11.69,0.86,12.07,-1.72,0.0,12.07,1.56,1.56
AAS,654,673,7.18,9.1,19,26.74,0.0,32.31,8,True,1.0,0.0,4.06,0.84,16.59,0.0,7.03,7.03,5.57,5.57
AAS,675,678,10.35,9.74,3,-5.89,-5.89,2.51,2,False,1.0,0.0,12.99,0.7,2.67,-0.92,0.0,0.0,8.41,8.41
AAS,680,681,10.0,9.74,1,-2.6,-2.6,0.0,1,False,0.76,-5.75,-3.38,0.64,2.67,-0.92,0.92,0.92,2.6,2.6
AAS,705,707,10.26,9.65,2,-5.95,-5.95,0.0,1,False,1.0,0.0,9.27,0.41,3.63,-4.46,3.63,0.0,5.95,5.95
AAS,709,710,10.0,9.74,1,-2.6,-2.6,0.0,1,False,0.75,-2.53,0.91,0.5,2.67,-5.34,-3.59,-5.34,2.6,2.6
AAS,712,713,10.0,9.22,1,-7.8,-7.8,0.0,1,False,0.75,-2.53,3.63,0.0,9.44,0.0,3.8,9.44,7.8,7.8
AAS,723,733,10.09,10.44,10,3.47,0.0,12.88,6,True,0.84,-1.66,5.43,0.56,3.26,-21.74,-16.67,-21.74,9.42,9.42
AAS,774,776,8.7,8.4,2,-3.45,-3.45,1.15,2,False,1.0,0.0,5.33,0.82,2.38,-2.38,0.0,1.19,4.6,4.6
AAS,778,779,8.6,8.5,1,-1.16,-1.16,0.0,1,False,0.91,-2.27,0.0,0.86,7.06,-3.53,-1.18,7.06,1.16,1.16
AAS,787,791,8.9,8.7,4,-2.25,-2.25,2.25,2,False,1.0,0.0,8.54,0.57,0.0,-5.75,-3.45,-3.45,4.49,4.49
AAS,810,813,8.7,8.6,3,-1.15,-1.15,0.0,1,False,0.83,-1.14,1.16,0.8,0.0,-3.49,-1.16,-3.49,1.15,1.15
AAS,840,850,8.6,9.0,10,4.65,0.0,9.3,6,True,1.0,0.0,2.38,0.69,3.33,-2.22,-1.11,2.22,4.65,4.65
AAS,852,855,9.3,8.9,3,-4.3,-4.3,0.0,3,False,0.91,-1.06,4.49,0.5,7.87,-1.12,3.37,5.62,4.3,4.3
AAS,862,866,9.6,9.3,4,-3.12,-3.12,0.0,1,False,1.0,0.0,7.87,0.63,-2.15,-10.75,-4.3,-9.68,3.12,3.12
