entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,entry_trend,quick_reentry,breakout_entry,vshape_entry,entry_ret_5d,entry_drop20d,entry_dist_sma20,symbol,model
236,249,13,-0.64,,end,2020-12-31,1.0,0.0,19.903457062618266,0.9995760241036828,3.0,2.0,-0.0306084383855953,0.05,2,2020-12-14,VIC,0.5,strong,False,False,False,2.93,0.0,3.4,VIC,v16
16,25,9,-3.85,40.16,signal,2020-02-13,0.6923076923076917,0.027972027972028,8.7301587301587,1.47347651407468,2.0,2.0,-0.025736742302631125,0.7166666666666667,5,2020-01-31,VND,0.7,moderate,False,False,False,1.78,-2.72,1.89,VND,v16
61,70,9,7.21,74.01,signal,2020-04-17,0.205479452054795,0.2612612612612611,-8.944793850454204,1.0946736514466329,2.0,4.0,0.09996862371199047,0.9833333333333333,3,2020-04-06,VND,0.6,weak,False,False,True,-0.45,-20.71,-7.77,VND,v16
96,109,13,-4.44,113.78,signal,2020-06-15,0.7592592592592595,0.05241935483870964,-0.24131274131278246,0.951795807397868,1.0,3.0,-0.0012741939708104943,0.8166666666666667,2,2020-05-27,VND,0.48999999999999994,strong,False,False,False,4.64,-3.12,8.11,VND,v16
119,129,10,1.17,44.11,signal,2020-07-13,0.5348837209302328,0.07812499999999989,-8.782489740082056,0.9571103703895177,1.0,2.0,-0.05188598135169775,0.18333333333333332,3,2020-06-29,VND,0.7,moderate,False,False,False,-0.39,-5.88,-0.93,VND,v16
168,204,36,26.53,74.04,peak_protect_dist,2020-10-27,0.6153846153846164,0.040816326530612096,-3.2258064516128684,0.969013160836451,0.0,2.0,-0.011843206770032713,0.35,3,2020-09-07,VND,0.7,moderate,False,False,False,0.0,-0.81,2.77,VND,v16
219,250,31,74.14,,end,2020-12-31,0.8870967741935486,0.020114942528735587,18.064616340478437,1.2020337544082844,2.0,3.0,-0.03740470717855961,0.75,4,2020-11-17,VND,0.5,strong,False,False,False,0.58,-0.29,7.46,VND,v16
53,72,19,5.98,75.49,signal,2020-04-22,0.3503800967519005,0.16740872662511128,11.060446524352471,1.4613492760155948,1.0,1.0,-0.07304028854916814,1.0,4,2020-03-25,VNM,0.6,weak,False,False,True,-3.16,-14.34,-6.33,VNM,v16
76,108,32,11.44,66.65,peak_protect_dist,2020-06-15,0.636544190665343,0.0596674274535376,-15.852337198092336,1.2330185714790673,3.0,3.0,0.04710539970725025,0.21666666666666667,4,2020-04-28,VNM,0.7,moderate,False,False,False,3.83,-2.23,2.25,VNM,v16
128,137,9,-3.23,45.27,signal,2020-07-24,0.6720554272517326,0.020005635390250798,-2.235910581014153,1.1078534787275907,1.0,0.0,-0.010139155124468145,0.016666666666666666,3,2020-07-13,VNM,0.7,strong,False,False,False,-1.46,-1.46,0.24,VNM,v16
