entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_efficiency,left_on_table_pct,future_upside_pct,exit_reason,position_size,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_sma50_dist,entry_atr_pct,entry_date,entry_symbol,model,window
142,150,8,-1.48,2.72,-54.5,4.2,0.0,signal,1.0,150,0.8564356435643569,0.023868312757201575,-9.40426170468185,1.2675350390060398,1.0,2.0,-0.012903208645713524,0.3,3,0.056209468504963854,0.03703703703703703,142,AAA,xgboost,train_2018-2021_test_2022
151,152,1,-0.25,0.83,-30.1,1.08,-1.23,signal,1.0,152,0.5167785234899337,0.05975103734439824,-11.54051494015323,1.1065492672909991,1.0,2.0,0.008025651531913914,0.03333333333333333,4,0.04562572673157358,0.03355068168346171,151,AAA,xgboost,train_2018-2021_test_2022
236,238,2,-2.24,0.0,0.0,2.24,0.29,stop_loss,1.0,238,0.7763975155279501,0.04800000000000004,1.607789855072454,0.878887185365595,2.0,3.0,0.038919590701071885,0.11666666666666667,3,0.05342996797572895,0.04457142857142858,236,AAA,xgboost,train_2018-2021_test_2022
250,253,3,-6.42,0.0,0.0,6.42,-1.8,signal,1.0,253,0.8436781609195403,0.03930635838150287,7.0616804273919485,0.9862602876748892,2.0,3.0,0.0006294595579623141,0.08333333333333333,3,1.2533083255183912,0.06577208918249382,250,AAS,xgboost,train_2018-2021_test_2022
277,293,16,7.63,12.33,61.9,4.7,13.24,signal,1.0,293,0.8419811320754721,0.04070473876063172,3.7035475347163924,1.334178855523997,2.0,3.0,-0.02727218866781717,0.43333333333333335,4,0.3433225606372214,0.03493317132442285,277,AAS,xgboost,train_2018-2021_test_2022
294,302,8,-1.82,1.29,-140.8,3.11,13.93,signal,1.0,302,0.6656346749226001,0.06064008983717024,-23.79525550257258,0.44553251658338017,1.0,2.0,0.004534713524907925,0.18333333333333332,3,0.12360259419082943,0.03384936231651561,294,AAS,xgboost,train_2018-2021_test_2022
303,304,1,-0.25,0.0,0.0,0.25,18.86,signal,1.0,304,0.35746606334841574,0.08128219805380663,-33.325062034739474,0.5925182523207025,1.0,2.0,0.023490581273915342,0.016666666666666666,3,0.061386667962769266,0.026126420803009243,303,AAS,xgboost,train_2018-2021_test_2022
307,312,5,-5.95,2.88,-206.4,8.83,-2.8,signal,1.0,312,0.8359788359788357,0.031328954017180444,24.974176615019836,1.6851220682239925,2.0,2.0,-0.07563248529132474,0.2833333333333333,4,0.17813046946623967,0.03100411463220963,307,AAS,xgboost,train_2018-2021_test_2022
313,315,2,-3.93,0.0,0.0,3.93,-3.64,signal,1.0,315,0.5703971119133572,0.12026275896917649,-9.58122117185004,1.0378957909537636,0.0,2.0,-0.1045807487983182,0.6333333333333333,3,0.13312338963641565,0.05713563848985783,313,AAS,xgboost,train_2018-2021_test_2022
385,389,4,4.91,5.17,94.9,0.26,2.35,trailing_stop,1.0,389,0.9558823529411761,0.010204081632653145,22.670550893517074,1.6971176095693903,2.0,2.0,-0.1595397572907016,0.43333333333333335,3,0.014440246364059888,0.03875121477162292,385,AAS,xgboost,train_2018-2021_test_2022
391,392,1,-0.25,0.0,0.0,0.25,1.97,signal,1.0,392,0.7774390243902443,0.06058091286307042,-24.999999999999964,2.4531041507044007,1.0,2.0,-0.06874108426950132,0.36666666666666664,3,0.054464629493507014,0.03924125666864255,391,AAS,xgboost,train_2018-2021_test_2022
401,403,2,-2.7,0.0,0.0,2.7,1.96,signal,1.0,403,0.13924050632911433,0.11908931698774075,-20.300751879699206,0.7245678016854302,2.0,2.0,0.017000107394696852,0.05,3,0.043093841910085674,0.044283212409306966,401,AAS,xgboost,train_2018-2021_test_2022
405,406,1,-0.25,0.0,0.0,0.25,-1.52,signal,1.0,406,0.24598930481283382,0.12401055408970979,-9.56887486855944,0.6029599694172901,1.0,2.0,0.0004309847806888256,0.2,3,0.048177443442668354,0.03631109435858776,405,AAS,xgboost,train_2018-2021_test_2022
477,480,3,44.69,44.95,99.4,0.25,-0.98,signal,0.7,480,0.6230769230769231,0.2454090150250417,-12.208605106905722,0.8802483755306142,0.0,2.0,-0.163574053845508,0.8333333333333334,3,-0.0222962164985474,0.16241354638683517,477,AAS,xgboost,train_2018-2021_test_2022
546,548,2,-2.0,0.0,0.0,2.0,-2.52,signal,1.0,548,0.6666666666666675,0.03824701195219112,-19.838102838900888,0.9677846142902871,1.0,2.0,0.035001868631104924,0.16666666666666666,3,0.026500899721904274,0.03426294820717131,546,AAT,xgboost,train_2018-2021_test_2022
573,581,8,44.07,45.4,97.1,1.33,2.73,signal,0.7,581,0.8727272727272729,0.027131782945736406,36.89112043469292,1.9293404892825392,3.0,4.0,-0.043542048258626606,0.8833333333333333,4,0.06770402251282896,0.0416389811738649,573,AAT,xgboost,train_2018-2021_test_2022
588,592,4,-7.53,0.0,0.0,7.53,3.35,stop_loss,1.0,592,0.8609865470852016,0.02355623100303955,6.362782419538206,0.9876220860497564,2.0,2.0,0.09777644404180838,0.05,3,0.0731643670287373,0.046461137646547974,588,AAT,xgboost,train_2018-2021_test_2022
611,624,13,48.37,54.9,88.1,6.53,-0.78,signal,0.7,624,0.8979591836734695,0.04028648164726941,11.094615607004158,1.125032078555317,1.0,2.0,0.0730323740978236,0.7833333333333333,4,-0.05695422386572769,0.05467451080700855,611,AAT,xgboost,train_2018-2021_test_2022
723,728,5,43.9,44.95,97.7,1.04,2.36,signal,0.7,728,0.7174825174825177,0.08462505236698784,36.688226471691,1.7880893160489735,2.0,3.0,0.08667315201415135,0.9166666666666666,5,0.7780790489102097,0.056346878927524116,723,AAV,xgboost,train_2018-2021_test_2022
729,732,3,40.74,40.98,99.4,0.25,3.77,signal,0.7,732,0.8377622377622378,0.0469065911847958,4.539396968182558,1.2954148870703432,1.0,2.0,0.19946270132363486,0.9333333333333333,4,0.5942907243611235,0.05187453064525447,729,AAV,xgboost,train_2018-2021_test_2022
738,739,1,-0.25,0.0,0.0,0.25,-1.65,signal,1.0,739,0.5306553911205076,0.09378960709759183,1.9396320771566735,0.704626373163266,1.0,2.0,0.15428089820975238,0.016666666666666666,4,0.2578917160895352,0.04547649224455307,738,AAV,xgboost,train_2018-2021_test_2022
843,849,6,1.83,6.25,29.3,4.42,-1.02,trailing_stop,1.0,849,0.8936170212765953,0.020833333333333447,-4.348089139860846,1.1680446273124847,2.0,3.0,0.04374776908413473,0.016666666666666666,3,0.06075003867317842,0.04196428571428573,843,AAV,xgboost,train_2018-2021_test_2022
850,853,3,-2.31,0.0,0.0,2.31,-1.05,signal,1.0,853,0.5890410958904106,0.09278350515463922,6.517766497461935,1.4844249111278935,1.0,1.0,0.0048473089950598625,0.31666666666666665,4,0.10627038616819862,0.042268041237113446,850,AAV,xgboost,train_2018-2021_test_2022
934,935,1,-0.25,0.0,0.0,0.25,-3.7,signal,1.0,935,0.7241379310344829,0.1481481481481481,-4.255319148936167,0.8387302083364635,0.0,2.0,0.023359805794880503,0.6666666666666666,3,0.10565110565110565,0.08994708994708996,934,AAV,xgboost,train_2018-2021_test_2022
12,24,12,10.15,13.58,74.7,3.43,17.76,trailing_stop,1.0,24,0.9565217391304347,0.005486968449931418,30.51724137931032,1.387194429733564,5.0,3.0,-0.046289240852295105,0.06666666666666667,3,0.05031585947024271,0.023530653160282796,12,AAA,xgboost,train_2019-2022_test_2023
