entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_efficiency,future_upside_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,model
201,207,6,0.35,0.6,58.0,5.36,zombie_exit,207,0.6719999999999999,0.04910179640718565,-5.552395039253618,1.9672958650437997,2.0,3.0,-0.05308711498485085,0.5833333333333334,4,201,AAA,1.0,xgboost
210,216,6,34.91,45.61,76.5,2.01,signal,216,0.7757009345794389,0.027842227378190282,3.4228517806872105,1.2283369179674868,2.0,3.0,0.0036288523222060285,0.7666666666666667,4,210,AAA,0.7,xgboost
250,260,10,39.92,66.75,59.8,8.33,signal,260,0.7999999999999998,0.08000000000000007,36.607142857142854,2.3003803643188183,3.0,4.0,0.4675087528540377,1.0,4,250,AAH,0.7,xgboost
353,358,5,97.63,97.88,99.7,-0.0,signal,358,0.8571428571428577,0.022727272727272645,23.21428571428575,1.560805707091901,3.0,3.0,0.6972891539067292,0.7166666666666667,4,353,AAH,0.5,xgboost
368,373,5,38.25,40.73,93.9,7.32,signal,373,0.4545454545454547,0.13333333333333325,29.99999999999997,1.7161784518376397,2.0,1.0,0.24922999399866014,0.95,4,368,AAH,0.7,xgboost
484,494,10,5.62,7.06,79.6,5.75,trailing_stop,494,0.4615384615384616,0.0823529411764705,14.814814814814817,0.9658715761720731,2.0,2.0,0.024589940472830106,0.25,4,484,AAS,1.0,xgboost
497,503,6,-0.25,2.25,-11.1,4.55,signal,503,0.7142857142857141,0.04494382022471914,-12.801932367149725,1.2090393125343004,2.0,2.0,-0.012028935693183293,0.38333333333333336,4,497,AAS,1.0,xgboost
506,510,4,-4.68,0.0,0.0,1.15,signal,510,0.5555555555555554,0.04444444444444448,-10.275689223057611,1.3593105029811956,2.0,2.0,-0.00820248148322975,0.03333333333333333,4,506,AAS,1.0,xgboost
551,557,6,39.47,40.81,96.7,4.44,signal,557,0.8846153846153844,0.032608695652173995,10.57692307692301,2.4789560742510566,3.0,4.0,-0.10114542250084946,0.8166666666666667,4,551,AAS,0.7,xgboost
584,599,15,19.34,19.63,98.5,84.16,trailing_stop,599,0.5000000000000014,0.03409090909090897,-7.179487179487246,1.3019393029111632,2.0,2.0,0.0010860821083400738,0.03333333333333333,4,584,AAS,1.0,xgboost
