symbol,v1_trades,v1_wr,v1_avg_pnl,v1_total_pnl,v1_pf,v1_max_loss,v2_trades,v2_wr,v2_avg_pnl,v2_total_pnl,v2_pf,v2_max_loss,delta_pnl,delta_wr,delta_pf
DST,26,26.92,2.545,66.18,1.443,-22.22,28,28.57,2.03,56.83,1.365,-17.65,-9.35,1.65,-0.078
LSS,28,50.0,5.198,145.54,3.291,-13.5,28,50.0,4.858,136.03,2.956,-13.5,-9.51,0.0,-0.335
APS,24,41.67,20.977,503.45,6.053,-17.48,22,45.45,22.447,493.84,6.501,-19.76,-9.61,3.79,0.448
PVD,36,50.0,0.964,34.69,1.283,-14.54,38,42.11,0.656,24.92,1.193,-14.54,-9.77,-7.89,-0.09
HSG,33,51.52,7.918,261.29,3.973,-14.32,35,48.57,7.183,251.42,3.316,-17.07,-9.87,-2.94,-0.658
MCH,23,65.22,9.7,223.11,8.096,-11.55,22,63.64,9.692,213.23,7.782,-11.55,-9.88,-1.58,-0.314
BCG,23,52.17,6.728,154.74,2.631,-35.8,25,52.0,5.777,144.42,2.308,-35.8,-10.32,-0.17,-0.323
MBB,35,57.14,3.112,108.91,2.678,-12.34,36,58.33,2.733,98.37,2.442,-12.34,-10.54,1.19,-0.235
NT2,35,42.86,0.041,1.44,1.019,-10.02,35,42.86,-0.263,-9.2,0.888,-10.26,-10.64,0.0,-0.13
SHS,30,53.33,10.749,322.47,3.932,-17.81,31,58.06,10.058,311.8,3.794,-17.81,-10.67,4.73,-0.138
PPC,32,34.38,-1.338,-42.81,0.42,-9.22,31,32.26,-1.725,-53.49,0.335,-9.22,-10.68,-2.12,-0.085
KHP,26,38.46,0.276,7.17,1.095,-17.35,28,42.86,-0.132,-3.69,0.96,-17.35,-10.86,4.4,-0.134
CMG,31,45.16,3.108,96.34,2.674,-10.78,32,43.75,2.671,85.47,2.232,-10.78,-10.87,-1.41,-0.442
ITA,25,36.0,7.125,178.13,2.747,-15.22,25,36.0,6.69,167.24,2.768,-15.22,-10.89,0.0,0.021
D2D,22,59.09,4.131,90.88,3.471,-10.74,22,63.64,3.634,79.95,3.182,-10.74,-10.93,4.55,-0.289
PHC,28,32.14,1.909,53.44,1.566,-13.56,29,37.93,1.463,42.44,1.453,-12.67,-11.0,5.79,-0.113
CVN,15,46.67,3.624,54.36,1.916,-15.2,14,42.86,3.082,43.15,1.742,-12.2,-11.21,-3.81,-0.173
MSR,35,31.43,1.093,38.24,1.3,-15.54,37,29.73,0.729,26.96,1.206,-15.54,-11.28,-1.7,-0.094
PVL,8,25.0,32.005,256.04,5.404,-16.67,9,22.22,27.187,244.68,4.521,-16.67,-11.36,-2.78,-0.883
VHM,38,39.47,-0.182,-6.9,0.951,-12.47,37,37.84,-0.495,-18.32,0.858,-12.47,-11.42,-1.64,-0.092
ITD,27,37.04,2.577,69.57,2.211,-8.68,28,39.29,2.064,57.8,1.842,-9.19,-11.77,2.25,-0.369
LGL,28,46.43,4.645,130.06,2.274,-11.16,28,50.0,4.224,118.28,2.179,-11.16,-11.78,3.57,-0.095
BVH,35,48.57,1.246,43.61,1.497,-14.59,34,44.12,0.934,31.74,1.39,-14.59,-11.87,-4.45,-0.106
ACL,21,57.14,4.731,99.35,3.349,-8.64,23,56.52,3.801,87.42,2.466,-11.51,-11.93,-0.62,-0.882
SGP,30,50.0,6.109,183.28,3.21,-14.4,30,53.33,5.71,171.3,2.924,-14.4,-11.98,3.33,-0.286
DGW,37,45.95,9.169,339.24,4.403,-12.24,35,48.57,9.336,326.76,4.4,-12.24,-12.48,2.63,-0.004
IDI,27,48.15,5.432,146.67,2.638,-15.65,30,53.33,4.466,133.97,2.359,-15.65,-12.7,5.19,-0.279
NBC,22,59.09,6.339,139.45,2.798,-17.81,24,54.17,5.275,126.6,2.499,-17.81,-12.85,-4.92,-0.299
HND,25,16.0,-0.904,-22.6,0.705,-10.85,25,16.0,-1.437,-35.93,0.468,-10.85,-13.33,0.0,-0.238
C69,27,25.93,8.153,220.13,2.522,-23.0,28,32.14,7.38,206.65,2.447,-23.0,-13.48,6.22,-0.075
LHC,14,42.86,6.331,88.64,3.237,-10.97,16,37.5,4.694,75.11,2.413,-13.87,-13.53,-5.36,-0.824
LAS,33,51.52,4.216,139.13,2.385,-15.52,34,47.06,3.694,125.59,2.172,-15.52,-13.54,-4.46,-0.213
NLG,36,50.0,3.261,117.38,2.197,-14.56,38,47.37,2.73,103.75,1.922,-14.56,-13.63,-2.63,-0.275
DXG,36,44.44,3.051,109.83,1.808,-15.71,39,43.59,2.466,96.19,1.688,-15.71,-13.64,-0.85,-0.12
DS3,10,40.0,7.381,73.81,3.331,-11.9,11,36.36,5.44,59.84,2.538,-11.9,-13.97,-3.64,-0.793
AMS,19,36.84,0.771,14.65,1.233,-12.62,18,44.44,0.034,0.62,1.011,-12.62,-14.03,7.6,-0.222
ITQ,19,31.58,6.987,132.75,2.556,-12.5,19,31.58,6.241,118.58,2.526,-12.5,-14.17,0.0,-0.03
CTI,27,55.56,3.231,87.23,2.301,-15.14,30,53.33,2.419,72.56,1.806,-15.14,-14.67,-2.22,-0.494
FTS,38,50.0,6.751,256.54,3.248,-14.96,38,57.89,6.361,241.73,3.114,-20.49,-14.81,7.89,-0.135
SPI,10,20.0,0.587,5.87,1.164,-8.33,10,20.0,-0.895,-8.95,0.75,-8.33,-14.82,0.0,-0.414
VCB,34,38.24,0.442,15.03,1.288,-6.44,34,35.29,-0.014,-0.49,0.992,-6.44,-15.52,-2.94,-0.297
C47,26,42.31,5.964,155.07,2.581,-16.98,28,39.29,4.979,139.42,2.2,-16.98,-15.65,-3.02,-0.381
NAF,30,43.33,3.936,118.09,2.975,-10.24,28,50.0,3.653,102.29,2.641,-10.24,-15.8,6.67,-0.333
CTR,33,57.58,4.195,138.43,3.067,-14.5,33,51.52,3.696,121.96,2.69,-14.5,-16.47,-6.06,-0.376
REE,32,46.88,1.959,62.68,1.884,-11.0,32,43.75,1.434,45.9,1.498,-14.08,-16.78,-3.12,-0.385
PXL,28,39.29,3.024,84.66,1.779,-17.13,28,39.29,2.424,67.86,1.697,-17.13,-16.8,0.0,-0.081
FID,15,33.33,7.403,111.05,2.747,-12.24,17,35.29,5.516,93.78,2.025,-15.15,-17.27,1.96,-0.723
TDM,24,54.17,2.388,57.31,3.509,-4.07,25,56.0,1.6,40.01,2.792,-4.07,-17.3,1.83,-0.717
HBC,32,40.62,2.9,92.8,1.681,-15.27,30,43.33,2.514,75.41,1.582,-15.27,-17.39,2.71,-0.098
HDB,39,51.28,2.762,107.71,3.184,-6.89,39,51.28,2.315,90.28,2.378,-13.41,-17.43,0.0,-0.806
MWG,38,60.53,2.089,79.39,2.048,-12.28,36,58.33,1.719,61.87,1.81,-10.96,-17.52,-2.19,-0.238
DLG,26,34.62,8.491,220.77,3.563,-14.66,26,34.62,7.813,203.13,3.447,-15.57,-17.64,0.0,-0.116
OIL,32,34.38,1.937,61.98,1.566,-14.3,35,34.29,1.251,43.8,1.432,-14.12,-18.18,-0.09,-0.134
MBG,29,37.93,1.813,52.57,1.548,-15.82,31,38.71,1.101,34.14,1.27,-17.28,-18.43,0.78,-0.278
L14,32,50.0,7.144,228.6,2.915,-15.09,33,48.48,6.329,208.86,2.645,-15.09,-19.74,-1.52,-0.271
EVE,24,62.5,5.514,132.34,8.58,-4.89,22,50.0,5.108,112.37,4.646,-9.83,-19.97,-12.5,-3.934
KVC,14,28.57,2.391,33.47,1.475,-18.18,16,25.0,0.838,13.4,1.141,-18.18,-20.07,-3.57,-0.334
MIG,31,38.71,1.39,43.09,1.362,-21.0,32,34.38,0.719,23.02,1.168,-21.0,-20.07,-4.33,-0.194
CTP,16,50.0,40.302,644.83,11.817,-13.6,17,47.06,36.74,624.58,10.479,-13.6,-20.25,-2.94,-1.338
VNR,22,45.45,3.252,71.55,1.998,-14.93,22,36.36,2.33,51.27,1.776,-14.93,-20.28,-9.09,-0.222
FCM,19,47.37,3.249,61.73,2.23,-10.55,21,38.1,1.924,40.41,1.709,-10.55,-21.32,-9.27,-0.521
LCG,31,51.61,9.084,281.59,4.904,-11.86,33,48.48,7.864,259.52,4.381,-11.86,-22.07,-3.13,-0.523
FMC,27,48.15,2.646,71.43,2.376,-14.97,28,46.43,1.744,48.82,1.861,-14.97,-22.61,-1.72,-0.515
PET,39,53.85,4.13,161.07,2.596,-15.23,38,63.16,3.637,138.21,2.39,-15.23,-22.86,9.31,-0.207
HDG,38,44.74,3.243,123.23,1.983,-13.8,38,42.11,2.617,99.45,1.772,-13.8,-23.78,-2.63,-0.211
NRC,28,39.29,1.591,44.55,1.437,-12.5,31,38.71,0.638,19.78,1.172,-12.5,-24.77,-0.58,-0.265
ADS,22,54.55,6.999,153.98,3.541,-15.21,22,45.45,5.84,128.49,2.77,-15.21,-25.49,-9.09,-0.77
FCN,34,50.0,3.226,109.68,1.697,-23.42,37,48.65,2.26,83.61,1.491,-23.42,-26.07,-1.35,-0.206
IPA,22,45.45,5.996,131.92,2.186,-21.36,23,34.78,4.535,104.31,1.937,-21.36,-27.61,-10.67,-0.249
VNE,29,44.83,4.97,144.13,2.556,-14.14,31,45.16,3.747,116.15,2.256,-14.14,-27.98,0.33,-0.3
IVS,24,33.33,4.237,101.68,2.427,-17.06,26,34.62,2.795,72.68,1.791,-17.67,-29.0,1.28,-0.637
DVN,27,37.04,1.747,47.17,1.583,-12.77,29,31.03,0.617,17.9,1.189,-12.77,-29.27,-6.0,-0.394
PLC,35,54.29,3.804,133.14,2.524,-14.92,36,55.56,2.862,103.02,2.308,-14.92,-30.12,1.27,-0.216
NSH,15,33.33,6.319,94.78,2.007,-30.77,15,26.67,4.209,63.14,1.642,-30.77,-31.64,-6.67,-0.365
DCM,30,56.67,9.378,281.34,6.094,-10.19,30,60.0,8.31,249.31,5.474,-10.14,-32.03,3.33,-0.62
IJC,36,41.67,0.287,10.32,1.062,-18.32,38,36.84,-0.579,-22.0,0.878,-18.32,-32.32,-4.82,-0.185
HAR,29,44.83,7.18,208.22,3.103,-15.54,27,48.15,6.489,175.21,3.397,-14.2,-33.01,3.32,0.294
