timestamp,trend,entry_score,wp,dp,rs,vs,bs,bb,ret5,ret20,ret60,drop20,dist_sma20,breakout,vshape_raw,choppy_regime,ret5_hot,dp_floor,is_real_entry
2018-08-28 06:00:00+00:00,strong,1,0.8071428571428539,0.002798217431858271,-2.94112274163804,0.8055568633273819,1.0,0.5,0.001245200788626999,0.0069922771863910604,0.0,-0.002377998345740373,0.00352570436084898,False,False,False,0.06999999999999999,0.017,False
2018-08-28 07:00:00+00:00,strong,1,0.8305084745762722,0.002071251035625518,7.027756516134133,0.8157249619635372,1.0,0.5,0.002491694352159346,0.008986415882967558,0.0,-0.0016542597187758634,0.0038048111108799354,False,False,False,0.06999999999999999,0.017,False
2018-08-29 02:00:00+00:00,strong,1,0.7711864406779636,0.002798217431858271,3.146567095298593,0.7690785358178681,1.0,0.5,-0.0007249378624689662,0.006047336044208151,0.019978858350951256,-0.002377998345740373,0.0027748043607038753,False,False,False,0.06999999999999999,0.017,False
2018-08-29 03:00:00+00:00,strong,2,0.7203389830508433,0.0034221715233849095,0.8000771158663582,0.837460804770151,1.0,0.5,-0.001346313173156699,0.007312232320066947,0.021828971071314873,-0.0029983457402813496,0.0017868644684078117,False,False,False,0.06999999999999999,0.017,False
2018-08-29 04:00:00+00:00,strong,2,0.7966101694915285,0.0024865312888520275,3.4920634920633162,0.8131594499822702,1.0,0.5,-0.0020678246484697738,0.006255212677231059,0.01889580914177147,-0.0020678246484697738,0.0024094383516120033,False,False,False,0.06999999999999999,0.017,False
2018-08-29 06:00:00+00:00,moderate,2,0.5267857142857101,0.0055076379507430825,-0.30008228062552433,0.8050072939914965,1.0,0.5,-0.002694579749196846,-0.0003116559318513401,0.013054005684808967,-0.005066170388751123,-0.0005867904638761079,False,False,False,0.06,0.02,False
2018-08-29 07:00:00+00:00,moderate,1,0.5,0.005821205821205845,-16.47737680893914,0.8179682506779983,1.0,0.5,-0.0037282518641259532,0.0014574224443055783,0.008174386920980936,-0.005376344086021501,-0.0009709897345093754,False,False,False,0.06,0.02,False
2018-08-30 02:00:00+00:00,moderate,1,0.46428571428571647,0.006239600665557404,-26.614853195163732,0.841075018516559,1.0,0.5,-0.003420043527826655,0.002502085070892335,0.00606821510776312,-0.005789909015715522,-0.0015108171392080871,False,False,False,0.06,0.02,False
2018-08-30 03:00:00+00:00,moderate,1,0.46428571428571647,0.006239600665557404,-25.1188527784268,0.7827466703824734,1.0,0.5,-0.00279995851913295,0.004596740493104878,0.007966457023060869,-0.005789909015715522,-0.0017388596195271333,False,False,False,0.06,0.02,False
2018-08-30 04:00:00+00:00,moderate,1,0.549450549450548,0.004255319148936194,-15.10233918128663,0.8319781605506867,1.0,0.5,-0.0017612929962702584,0.004797163416414563,0.009640574242900657,-0.0038254755996691703,-5.189386666271112e-06,False,False,False,0.06,0.02,False
